key,severity,type,component,line,message,status,author,creationDate
6356b6ea-7b7b-4a29-b934-aeb20ec8c162,MINOR,BUG,FRmicrow_dataFootV1:frontend/src/components/v3/modules/league/FixturesList.jsx,178,"Visible, non-interactive elements with click handlers must have at least one keyboard listener.",OPEN,parsisdominique@gmail.com,2026-03-09T19:45:44+0100
bfac5922-de9c-4f2f-b5c9-9dfe9937f118,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/league/FixturesList.jsx,178,"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",OPEN,parsisdominique@gmail.com,2026-03-09T19:45:44+0100
26aba2bf-1f1e-4e62-9ace-47c54ef777f4,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/pages/league/SeasonOverviewPage.jsx,1,Remove this unused import of 'useMemo'.,OPEN,,2026-03-09T19:45:44+0100
2cc7c137-69bc-4e84-9bd7-47ea41bcc863,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/pages/league/SeasonOverviewPage.jsx,4,Remove this unused import of 'Grid'.,OPEN,,2026-03-09T19:45:44+0100
60a13687-e465-40a8-8456-fa75f596bd72,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/pages/league/SeasonOverviewPage.jsx,4,Remove this unused import of 'Badge'.,OPEN,,2026-03-09T19:45:44+0100
8d0af67a-da88-43f4-83b1-e0e570cf3a10,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/pages/league/SeasonOverviewPage.jsx,4,Remove this unused import of 'Select'.,OPEN,,2026-03-09T19:45:44+0100
a3dbd6f5-4280-4288-9a5b-67b48837564a,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/pages/league/SeasonOverviewPage.jsx,4,Remove this unused import of 'Table'.,OPEN,,2026-03-09T19:45:44+0100
00ccb6c4-256c-4de1-ad06-8e32db00e51a,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/design-system/components/Skeleton.jsx,60,Use `new Array()` instead of `Array()`.,OPEN,,2026-03-09T19:45:44+0100
ddc27b98-5e14-4aa7-81a1-d9af255a30da,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/design-system/components/Skeleton.jsx,62,Use `new Array()` instead of `Array()`.,OPEN,,2026-03-09T19:45:44+0100
34dc321a-57c2-44e6-904f-9bc4ded1b83c,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/design-system/components/TeamSelector.jsx,3,Remove this unused import of 'Button'.,OPEN,,2026-03-09T19:45:44+0100
40ea2814-3d20-4ea4-aa67-bd45d037d907,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/design-system/components/TeamSelector.jsx,3,Remove this unused import of 'Badge'.,OPEN,,2026-03-09T19:45:44+0100
83d04473-7067-491d-bb1d-cd3dad54dd91,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/design-system/components/TeamSelector.jsx,3,Remove this unused import of 'Input'.,OPEN,,2026-03-09T19:45:44+0100
d35d5bef-e564-430c-bf73-650d42b35554,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/design-system/components/TeamSelector.jsx,3,Remove this unused import of 'Card'.,OPEN,,2026-03-09T19:45:44+0100
f2b95cef-fcf3-4a7b-971c-63deb2ad3e9c,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/design-system/components/TeamSelector.jsx,3,Remove this unused import of 'Table'.,OPEN,,2026-03-09T19:45:44+0100
3f541bf7-b0a2-413a-9e82-acadd57143d7,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/league/StandingsTable.jsx,132,Extract this nested ternary operation into an independent statement.,OPEN,parsisdominique@gmail.com,2026-03-09T19:39:34+0100
bedefc42-4281-4bf7-b442-5422bdd86790,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/league/StandingsTable.jsx,237,'isDynamicMode' PropType is defined but prop is never used,OPEN,parsisdominique@gmail.com,2026-03-09T19:39:34+0100
f9a7b693-2760-4e56-909f-4c93c70ce590,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/studio/ChartCanvas.jsx,33,'wizardData.chartData.filter' is missing in props validation,OPEN,parsisdominique@gmail.com,2026-03-09T19:39:34+0100
5032515c-2c91-4624-92f6-27cf4c5903ba,MAJOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/studio/charts/LineChartRace.jsx,23,"Remove this useless assignment to variable ""renderCount"".",OPEN,parsisdominique@gmail.com,2026-03-09T19:39:34+0100
e229d8c1-337e-4204-85cb-472d741fea92,MINOR,CODE_SMELL,FRmicrow_dataFootV1:frontend/src/components/v3/modules/studio/charts/LineChartRace.jsx,23,Remove the declaration of the unused 'renderCount' variable.,OPEN,parsisdominique@gmail.com,2026-03-09T19:39:34+0100
